hostname,neighborName,hostPortId,neighborPortId
AVCDM1,ADBG1,3,9
AVCDM1,ADBG2,4,9
DSU1,AVCDM1,3,5
DSU1,QSEBVCC,2,11
DSU1,ADBG1,7,7
DSU1,DSU2,5,4
DSU2,AVCDM1,3,6
DSU2,ADBG2,7,7
QSEBVCC,ICMT1,2,2
ADBG1,QSEB2AC,6,11
QSEB2AC,SVDU2A,2,3
QSEB2AC,SVDU2C,3,3
QSEB2AC,QSEB1AC,10,10
QSEB1AC,SVDU1A,2,3
QSEB1AC,SVDU1C,3,3
QSEB1AC,QSEB20ABC,11,11
QSEB20ABC,SVDU21A,2,3
QSEB20ABC,SVDU21B,3,3
QSEB20ABC,SVDU21C,4,3
QSEB20ABC,QSEB19ABC,10,11
QSEB19ABC,SVDU20A,2,3
QSEB19ABC,SVDU20B,3,3
QSEB19ABC,SVDU20C,4,3
QSEB19ABC,QSEB18ABC,10,11
QSEB18ABC,SVDU19A,2,3
QSEB18ABC,SVDU19B,3,3
QSEB18ABC,SVDU19C,4,3
QSEB17ABC,SVDU18A,2,3
QSEB17ABC,SVDU18B,3,3
QSEB17ABC,SVDU18C,4,3
QSEB16ABC,QSEB17ABC,10,11
QSEB16ABC,SVDU17A,2,3
QSEB16ABC,SVDU17B,3,3
QSEB16ABC,SVDU17C,4,3
QSEB15ABC,QSEB16ABC,10,11
QSEB15ABC,SVDU16A,2,3
QSEB15ABC,SVDU16B,3,3
QSEB15ABC,SVDU16C,4,3
QSEB21ABC,QSEB15ABC,10,10
QSEB21ABC,SVDU22A,2,3
QSEB21ABC,SVDU22B,3,3
QSEB21ABC,SVDU22C,4,3
ADBG2,QSEB21ABC,6,11
ADBG1,QSEB1DF,4,11
QSEB1DF,SVDU1D,2,3
QSEB1DF,SVDU1F,3,3
QSEB1DF,QSEB2DF,10,10
QSEB2DF,SVDU2D,2,3
QSEB2DF,SVDU2F,3,3
QSEB2DF,QSEB21DEF,11,11
QSEB21DEF,SVDU22D,2,3
QSEB21DEF,SVDU22E,3,3
QSEB21DEF,SVDU22F,4,3
QSEB21DEF,QSEB15DEF,10,10
QSEB15DEF,SVDU16D,2,3
QSEB15DEF,SVDU16E,3,3
QSEB15DEF,SVDU16F,4,3
QSEB15DEF,QSEB16DEF,11,10
QSEB16DEF,SVDU17D,2,3
QSEB16DEF,SVDU17E,3,3
QSEB16DEF,SVDU17F,4,3
QSEB17DEF,SVDU18D,2,3
QSEB17DEF,SVDU18E,3,3
QSEB17DEF,SVDU18F,4,3
QSEB18DEF,QSEB17DEF,11,10
QSEB18DEF,SVDU19D,2,3
QSEB18DEF,SVDU19E,3,3
QSEB18DEF,SVDU19F,4,3
QSEB19DEF,QSEB18DEF,11,10
QSEB19DEF,SVDU20D,2,3
QSEB19DEF,SVDU20E,3,3
QSEB19DEF,SVDU20F,4,3
QSEB20DEF,QSEB19DEF,11,10
QSEB20DEF,SVDU21D,2,3
QSEB20DEF,SVDU21E,3,3
QSEB20DEF,SVDU21F,4,3
ADBG2,QSEB20DEF,4,11
ADBG1,QSEB12ABC,5,11
QSEB12ABC,SVDU13A,2,3
QSEB12ABC,SVDU13B,3,3
QSEB12ABC,SVDU13C,4,3
QSEB12ABC,QSEB13ABC,10,11
QSEB13ABC,SVDU14A,2,3
QSEB13ABC,SVDU14B,3,3
QSEB13ABC,SVDU14C,4,3
QSEB13ABC,QSEB14ABC,10,11
QSEB14ABC,SVDU15A,2,3
QSEB14ABC,SVDU15B,3,3
QSEB14ABC,SVDU15C,4,3
QSEB14ABC,QSEB8ABC,10,10
QSEB8ABC,SVDU9A,2,3
QSEB8ABC,SVDU9B,3,3
QSEB8ABC,SVDU9C,4,3
QSEB8ABC,QSEB9bisABC,11,10
QSEB9bisABC,SVDU8A,2,3
QSEB9bisABC,SVDU8B,3,3
QSEB9bisABC,SVDU8C,4,3
